Name,Funding Details
Raiinmaker,['Seed\n3 Apr 2024\nRaised\n$ 7.50M\nInvestors:\nJump Capital\nLead\nCypher Capital\nLead\nMEXC\nGate.io\n+11']
Satoshisync,['Undisclosed\n3 Apr 2024\nRaised\nN/A\nInvestors:\nZBS CAPITAL\nMaven Capital\nMH Ventures\nChainlink\n+12']
Legitimate,['Seed\n3 Apr 2024\nRaised\n$ 4.30M\nInvestors:\nLemniscap\nLead\nSfermion\nDraper Associates\nVerbal\n+1']
Mangata,"['Undisclosed\n3 Apr 2024\nValuation\n$ 80M\nRaised\n$ 5.00M\nInvestors:\nPolychain Capital\nCMS Holdings\nMaster Ventures\nToken Metrics\n+2', 'Strategic\n28 Apr 2022\nValuation\n$ 60M\nRaised\n$ 4.20M\nInvestors:\nPolychain Capital\nLead\nTRGC\nLead\nAltonomy\nLead\nSignum Capital\n+5', 'Seed\n16 Jun 2021\nRaised\n$ 1.40M\nInvestors:\nPolychain Capital\nLead\nCMS Holdings\nIOSG Ventures\nTRGC\n+2']"
Bonus-Block,['Undisclosed\n2 Apr 2024\nRaised\n$ 2.30M\nInvestors:\nZBS CAPITAL\nRarestone Capital\nFaculty Group\nLaser Digital\n+15']
Iotex,"['Undisclosed\n2 Apr 2024\nRaised\n$ 50.00M\nInvestors:\nAmber Group\nBorderless Capital\nSNZ Holding\nWaterdrip Capital\n+4', 'Grant\n6 Sep 2023\nRaised\nN/A\nInvestors:\nEthereum Foundation']"
Autolayer,['Seed\n2 Apr 2024\nRaised\n$ 2.50M\nInvestors:\nMorningstar Ventures\nKuCoin Labs\nSpark Digital Capital\nBlackEdge Capital\n+3']
Camp-Network,['Seed\n2 Apr 2024\nRaised\n$ 4.00M\nInvestors:\nMaven 11 Capital\nLead\nOKX Ventures\nHTX Ventures\nMoonrock Capital\n+4']
Agoradollar,['Seed\n2 Apr 2024\nRaised\n$ 12.00M\nInvestors:\nDragonFly Capital\nLead\nRobot Ventures\nGeneral Catalyst']
Rumby-Stars,"['Undisclosed\n2 Apr 2024\nRaised\n$ 10.00M\nInvestors:\nThe Spartan Group\nAnimoca Brands\nShima Capital\nHashed Fund\n+4', 'Seed\n20 Apr 2023\nRaised\nN/A\nInvestors:\nBinance Labs']"
Soai,['Angel\n2 Apr 2024\nRaised\n$ 5.00M\nInvestors:\nXForce Capital\nArcher Capital']
Deeplink,['Undisclosed\n2 Apr 2024\nRaised\n$ 8.00M\nInvestors:\nGobi Partners\nBigger Than Race\nDeepBrainChain\nfirehustle']
Moongate,['Seed\n2 Apr 2024\nRaised\n$ 2.70M\nInvestors:\nCMCC Global\nLead\nTitan Capital\nLead\nGBV Capital\nToken Bay Capital\n+4']
Metados,['Undisclosed\n2 Apr 2024\nRaised\n$ 2.45M\nInvestors:\nAvalon Wealth Club\nKangaroo Capital\nAZA Ventures\nBrainbox']
Xraders,['Seed\n2 Apr 2024\nRaised\n$ 2.10M\nInvestors:\nGBV Capital\nFBG Capital\nIcetea Labs\nBasics Capital\n+15']
Bsx,"['Undisclosed\n1 Apr 2024\nRaised\nN/A\nInvestors:\nCMS Holdings\nKyros Ventures\nSaison Capital\nBase Ecosystem Fund\n+2', 'Undisclosed\n7 Sep 2023\nRaised\nN/A\nInvestors:\nBase Ecosystem Fund']"
Lockchain-Ai,['Seed\n1 Apr 2024\nRaised\n$ 4.60M\nInvestors:\nLerer Hippeau\nLead\nArrington XRP Capital\nWhite Star Capital\nArca\n+4']
Burnt-Finance,"['Series A\n1 Apr 2024\nValuation\n$ 500M\nRaised\n$ 25.00M\nInvestors:\nThe Spartan Group\nMulticoin Capital\nAnimoca Brands\nMechanism Capital\n+15', 'Strategic\n5 Oct 2023\nRaised\nN/A\nInvestors:\nCircle', 'Seed\n17 Jan 2022\nValuation\n$ 80M\nRaised\n$ 8.00M\nInvestors:\nAnimoca Brands\nLead\nThe Spartan Group\nMulticoin Capital\nHashKey Capital\n+11', 'Pre-Seed\n6 May 2021\nValuation\n$ 25M\nRaised\n$ 3.00M\nInvestors:\nThe Spartan Group\nMulticoin Capital\nHashKey Capital\nMechanism Capital\n+7']"
Merkle-Trade,['Seed\n1 Apr 2024\nRaised\n$ 2.10M\nInvestors:\nHashed Fund\nLead\nArrington XRP Capital\nLead\nMorningstar Ventures\nAmber Group\n+4']
Arrow-Markets,"['Series A\n30 Mar 2024\nRaised\n$ 4.00M\nInvestors:\nDelphi Digital\nFramework Ventures\nBlizzard Fund', 'Seed\n16 Nov 2021\nRaised\n$ 1.40M\nInvestors:\nDelphi Digital\nFramework Ventures\nCMS Holdings\nQCP Capital\n+4']"
Sophon-Xyz,['Undisclosed\n29 Mar 2024\nRaised\n$ 10.00M\nInvestors:\nThe Spartan Group\nOKX Ventures\nMaven 11 Capital\nHTX Ventures\n+2']
Biconomy,"['Strategic\n28 Mar 2024\nRaised\nN/A\nInvestors:\nBalaji Srinivasan\nConsenSys\nJump Capital\nBorderless Capital\n+5', 'Strategic\n1 Sep 2021\nRaised\n$ 625.00K\nPrice:\n$ 0.125\nROI:\n3.70x  +270%\nInvestors:\nN/A\nATH ROI:\n167.20x  +16,620%', 'Private Token Sale\n28 Jul 2021\nRaised\n$ 9.00M\nPrice:\n$ 0.075\nROI:\n6.17x  +516.7%\nInvestors:\nCoinbase Ventures\n+22\nATH ROI:\n278.67x  +27,767%', 'Seed\n11 Jan 2021\nRaised\n$ 1.50M\nPrice:\n$ 0.0225\nROI:\n20.56x  +1,956%\nInvestors:\nBinance Labs\n+7\nATH ROI:\n928.89x  +92,789%']"
Midas-App,['Seed\n28 Mar 2024\nRaised\n$ 8.75M\nInvestors:\nFramework Ventures\nLead\nBlocktower Capital\nLead\nHV Capital\nLead\nCoinbase Ventures\n+10']
Flock,['Seed\n28 Mar 2024\nRaised\n$ 6.00M\nInvestors:\nFaction\nLead\nTagus Capital\nLead\nDigital Currency Group (DCG)\nOKX Ventures\n+2']
Taproot-Labs,"['Undisclosed\n28 Mar 2024\nRaised\nN/A\nInvestors:\nNegentropy Capital\nLead\nBitValue Capital\nHussein Family Office\nDigital Pacific Holding', 'Undisclosed\n5 Mar 2024\nRaised\nN/A\nInvestors:\nWaterdrip Capital\nNegentropy Capital\nSatoshiLab']"
Dappos,"['Series A\n28 Mar 2024\nValuation\n$ 300M\nRaised\n$ 15.30M\nInvestors:\nPolychain Capital\nLead\nAmber Group\nNGC Ventures\nWaterdrip Capital\n+12', 'Seed\n20 Jul 2023\nValuation\n$ 50M\nRaised\nN/A\nInvestors:\nHongShan (ex-Sequoia China)\nLead\nIDG Capital\nLead\nHashKey Capital\nOKX Ventures\n+9', 'Undisclosed\n20 Jun 2023\nRaised\nN/A\nInvestors:\nBinance Labs']"
Parallel-Life,"['Undisclosed\n28 Mar 2024\nRaised\n$ 35.00M\nInvestors:\nThe Spartan Group\nSolana Ventures\nDistributed Global\nAmber Group\n+16', 'Undisclosed\n21 Oct 2021\nValuation\n$ 500M\nRaised\n$ 50.00M\nInvestors:\nParadigm']"
Rug-Ai,['Pre-Seed\n27 Mar 2024\nRaised\n$ 1.10M\nInvestors:\nNo Limit Holdings\nLead\nMask Network\nFormless Capital\nBuilder Capital\n+6']
